"","date","depth","mean_do"
"1",2020-01-01,1,11.6
"2",2020-01-01,1.5,11.4
"3",2020-01-01,2,11.2
"4",2020-01-01,2.5,11.12096875
"5",2020-01-01,3,11.0419375
"6",2020-01-01,3.5,10.96290625
"7",2020-01-01,4,10.883875
"8",2020-01-01,4.5,10.9313958325
"9",2020-01-01,5,10.978916665
"10",2020-01-01,5.5,11.0264374975
"11",2020-01-01,6,11.07395833
"12",2020-01-01,6.5,10.79374739325
"13",2020-01-01,7,10.5135364565
"14",2020-01-01,7.5,10.23332551975
"15",2020-01-01,8,9.953114583
"16",2020-01-01,8.5,10.21358593725
"17",2020-01-01,9,10.4740572915
"18",2020-01-01,9.5,10.73452864575
"19",2020-01-01,10,10.995
"20",2020-01-01,10.5,10.55169791675
"21",2020-01-01,11,10.1083958335
"22",2020-01-01,11.5,9.66509375025
"23",2020-01-01,12,9.221791667
"24",2020-01-01,12.5,9.56472916775
"25",2020-01-01,13,9.9076666685
"26",2020-01-01,13.5,10.25060416925
"27",2020-01-01,14,10.59354167
"28",2020-01-01,14.5,10.35672916925
"29",2020-01-01,15,10.1199166685
"30",2020-01-01,15.5,9.88310416775
"31",2020-01-01,16,9.646291667
"32",2020-01-01,16.5,9.41276562525
"33",2020-01-01,17,9.1792395835
"34",2020-01-01,17.5,8.94571354175
"35",2020-01-01,18,8.7121875
"36",2020-01-01,18.5,8.2263046875
"37",2020-01-01,19,7.740421875
"38",2020-01-01,19.5,7.2545390625
"39",2020-01-01,20,6.76865625
"40",2020-01-01,20.5,5.10158854175
"41",2020-01-01,21,3.4345208335
"42",2020-01-01,21.5,1.76745312525
"43",2020-01-01,22,0.100385417
"44",2020-01-02,1,11.5685185185185
"45",2020-01-02,1.5,11.3681481481481
"46",2020-01-02,2,11.1677777777778
"47",2020-01-02,2.5,11.0870233410463
"48",2020-01-02,3,11.0062689043148
"49",2020-01-02,3.5,10.9255144675833
"50",2020-01-02,4,10.70591667
"51",2020-01-02,4.5,10.801026045
"52",2020-01-02,5,10.89613542
"53",2020-01-02,5.5,10.991244795
"54",2020-01-02,6,11.08635417
"55",2020-01-02,6.5,10.7268437525
