"","date","depth","mean_t"
"1",2020-01-01,1,2.117
"2",2020-01-01,1.5,2.2665
"3",2020-01-01,2,2.416
"4",2020-01-01,2.5,2.392
"5",2020-01-01,3,2.368
"6",2020-01-01,3.5,2.458
"7",2020-01-01,4,2.548
"8",2020-01-01,4.5,2.53025
"9",2020-01-01,5,2.5125
"10",2020-01-01,5.5,2.49475
"11",2020-01-01,6,2.477
"12",2020-01-01,6.5,2.5075
"13",2020-01-01,7,2.538
"14",2020-01-01,7.5,2.5685
"15",2020-01-01,8,2.599
"16",2020-01-01,8.5,2.653
"17",2020-01-01,9,2.707
"18",2020-01-01,9.5,2.6695
"19",2020-01-01,10,2.632
"20",2020-01-01,10.5,2.673815
"21",2020-01-01,11,2.71563
"22",2020-01-01,11.5,2.777315
"23",2020-01-01,12,2.839
"24",2020-01-01,12.5,2.8145
"25",2020-01-01,13,2.79
"26",2020-01-01,13.5,2.8115
"27",2020-01-01,14,2.833
"28",2020-01-01,14.5,2.885
"29",2020-01-01,15,2.937
"30",2020-01-01,15.5,2.95922
"31",2020-01-01,16,2.98144
"32",2020-01-01,16.5,3.00366
"33",2020-01-01,17,3.02588
"34",2020-01-01,17.5,3.06794
"35",2020-01-01,18,3.11
"36",2020-01-01,18.5,3.142565
"37",2020-01-01,19,3.17513
"38",2020-01-01,19.5,3.17722
"39",2020-01-01,20,3.17931
"40",2020-01-01,20.5,3.181405
"41",2020-01-01,21,3.1835
"42",2020-01-01,21.5,3.25225
"43",2020-01-01,22,3.321
"44",2020-01-02,1,2.117
"45",2020-01-02,1.5,2.2665
"46",2020-01-02,2,2.416
"47",2020-01-02,2.5,2.392
"48",2020-01-02,3,2.368
"49",2020-01-02,3.5,2.458
"50",2020-01-02,4,2.548
"51",2020-01-02,4.5,2.53025
"52",2020-01-02,5,2.5125
"53",2020-01-02,5.5,2.49475
"54",2020-01-02,6,2.477
"55",2020-01-02,6.5,2.5075
"56",2020-01-02,7,2.538
"57",2020-01-02,7.5,2.5685
"58",2020-01-02,8,2.599
"59",2020-01-02,8.5,2.653
"60",2020-01-02,9,2.707
"61",2020-01-02,9.5,2.6695
"62",2020-01-02,10,2.632
"63",2020-01-02,10.5,2.6935
"64",2020-01-02,11,2.755
"65",2020-01-02,11.5,2.797
"66",2020-01-02,12,2.839
"67",2020-01-02,12.5,2.8145
"68",2020-01-02,13,2.79
"69",2020-01-02,13.5,2.8115
"70",2020-01-02,14,2.833
"71",2020-01-02,14.5,2.885
"72",2020-01-02,15,2.937
"73",2020-01-02,15.5,2.95922
"74",2020-01-02,16,2.98144
"75",2020-01-02,16.5,3.00366
"76",2020-01-02,17,3.02588
"77",2020-01-02,17.5,3.06794
"78",2020-01-02,18,3.11
"79",2020-01-02,18.5,3.1465
"80",2020-01-02,19,3.183
"81",2020-01-02,19.5,3.183125
"82",2020-01-02,20,3.18325
"83",2020-01-02,20.5,3.183375
"84",2020-01-02,21,3.1835
"85",2020-01-02,21.5,3.2755
"86",2020-01-02,22,3.3675
"87",2020-01-03,1,2.04613
"88",2020-01-03,1.5,2.231065
"89",2020-01-03,2,2.416
"90",2020-01-03,2.5,2.392
"91",2020-01-03,3,2.368
